mua_objectid,mua_aggname_short,mua_country_code,mua_country,mua_mean_lon,mua_mean_lat,mua_cell_count,mua_worldpop_thousands,mua_area_m2,region_1,economy,sub_regions
736,Morogoro,834,Tanzania,37.67045455,-6.806818182,11,311,134539904,Africa,other,EastAfrica
743,Mwanza,834,Tanzania,32.94807692,-2.517307692,13,623,153460992,Africa,other,EastAfrica
1534,Zanzibar,834,Tanzania,39.215,-6.158333333,15,651,125819920,Africa,other,EastAfrica
1570,Lome,768,Togo,1.20326087,6.188043478,23,1993,333072800,Africa,other,WestAfrica
920,Safaqis,788,Tunisia,10.75978261,34.7423913,23,529,250256032,Africa,other,NorthAfrica
1096,Tunis,788,Tunisia,10.20416667,36.80555556,36,2033,446008704,Africa,other,NorthAfrica
534,Kampala,800,Uganda,32.57916667,0.320833333,24,2868,499544288,Africa,other,EastAfrica
1377,Kitwe,894,Zambia,28.1875,-12.8225,20,464,268546624,Africa,other,EastAfrica
659,Lusaka,894,Zambia,28.30543478,-15.4076087,23,2204,429166656,Africa,other,EastAfrica
769,Ndola,894,Zambia,28.63214286,-12.97857143,14,348,189726992,Africa,other,EastAfrica
199,Bulawayo,716,Zimbabwe,28.5625,-20.1625,20,518,286890752,Africa,other,EastAfrica
247,Chitungwiza,716,Zimbabwe,31.08125,-18.03125,8,404,116036568,Africa,other,EastAfrica
430,Harare,716,Zimbabwe,31.02058824,-17.84264706,34,1282,567571264,Africa,other,EastAfrica
18,Adelaide,36,Australia,138.602,-34.912,50,1004,843068416,AustraliaNZ,advanced,AustraliaNZ
189,Brisbane,36,Australia,153.0436567,-27.48843284,67,1310,1127220352,AustraliaNZ,advanced,AustraliaNZ
211,Canberra,36,Australia,149.1057692,-35.30576923,39,383,579302016,AustraliaNZ,advanced,AustraliaNZ
383,Gold-Coast,36,Australia,153.4,-28.03958333,24,348,318015744,AustraliaNZ,advanced,AustraliaNZ
709,Melbourne,36,Australia,145.0381818,-37.84681818,110,2997,1950488448,AustraliaNZ,advanced,AustraliaNZ
774,Newcastle_*Australia*,36,Australia,151.6701613,-32.96693548,31,278,286443200,AustraliaNZ,advanced,AustraliaNZ
1397,Perth,36,Australia,115.8925,-31.92416667,60,1109,1031666944,AustraliaNZ,advanced,AustraliaNZ
1028,Sunshine-Coast,36,Australia,153.0907895,-26.73552632,19,140,202152720,AustraliaNZ,advanced,AustraliaNZ
1034,Sydney,36,Australia,151.0614198,-33.84660494,81,3206,1378342528,AustraliaNZ,advanced,AustraliaNZ
91,Auckland,554,New_Zealand,174.7714286,-36.88214286,56,1227,647230080,AustraliaNZ,advanced,AustraliaNZ
249,Christchurch,554,New_Zealand,172.6020833,-43.50833333,24,312,277530944,AustraliaNZ,advanced,AustraliaNZ
1539,Wellington,554,New_Zealand,174.79,-41.295,10,145,65904092,AustraliaNZ,advanced,AustraliaNZ
29,Akesu,156,China,80.26973684,41.20394737,19,370,178038272,China,other,China
63,Ankang,156,China,109.025,32.7,6,251,64618460,China,other,China
1438,Anqing,156,China,117.05,30.525,12,543,153407776,China,other,China
3,Anqiu,156,China,119.1892857,36.45,14,330,142614880,China,other,China
68,Anshan+,156,China,123.0565217,41.18152174,46,2278,615474560,China,other,China
69,Anshun,156,China,105.925,26.25,6,330,69811696,China,other,China
73,Anyang,156,China,114.325,36.1,18,961,238622912,China,other,China
102,Baicheng,156,China,122.8416667,45.61944444,9,291,73465752,China,other,China
103,Baishan,156,China,126.425,41.95,6,295,66926384,China,other,China
105,Baiyin,156,China,104.175,36.53269231,13,234,127324224,China,other,China
118,Baoding,156,China,115.5143617,38.88351064,47,1655,581590528,China,other,China
119,Baoji,156,China,107.2477273,34.35,22,790,233013728,China,other,China
120,Baotou,156,China,109.8763889,40.62361111,36,2151,544470528,China,other,China
1308,Bayannaoer,156,China,107.4,40.765,10,345,106963888,China,other,China
1307,Bazhong,156,China,106.75,31.865,10,241,87507920,China,other,China
1306,Beihai,156,China,109.125,21.47884615,13,438,119903152,China,other,China
138,Beijing+,156,China,116.4873288,39.91506849,146,18404,2417119488,China,other,China
143,Bengbu,156,China,117.35,32.925,12,627,151946032,China,other,China
146,Benxi,156,China,123.7477273,41.29318182,11,687,115453840,China,other,China
159,Bijie,156,China,105.275,27.3,6,274,72669944,China,other,China
66,Binzhou,156,China,118.048913,37.3923913,23,431,289926528,China,other,China
178,Botou,156,China,116.575,38.075,9,187,81332632,China,other,China
180,Bozhou,156,China,115.7704545,33.85681818,11,319,120201928,China,other,China
1288,Cangzhou,156,China,116.8596154,38.32115385,13,529,146720272,China,other,China
219,Cenxi,156,China,110.98125,22.91875,8,146,64439060,China,other,China
221,Changchun,156,China,125.3088235,43.86617647,34,3374,485892352,China,other,China
222,Changde,156,China,111.6980769,29.03269231,13,689,136299776,China,other,China
1445,Changge,156,China,113.7795455,34.20681818,11,179,92384992,China,other,China
223,Changji,156,China,87.3,44,12,390,96176960,China,other,China
224,Changning,156,China,112.375,26.4,6,145,62839732,China,other,China
1446,Changsha,156,China,112.9945652,28.1923913,46,3556,769624960,China,other,China
225,Changshu,156,China,120.7875,31.66875,24,1005,333479776,China,other,China
226,Changyi,156,China,119.375,36.85,6,154,75616840,China,other,China
227,Changzhi,156,China,113.1375,36.26964286,28,860,403783936,China,other,China
228,Chaohu,156,China,117.8583333,31.61388889,9,294,87272464,China,other,China
229,Chaoyang,156,China,120.45,41.575,12,450,99741480,China,other,China
1262,Chengde,156,China,117.9333333,40.96666667,6,223,46537208,China,other,China
1448,Chengdu,156,China,103.9960938,30.6671875,64,8189,1227780480,China,other,China
237,Chenzhou,156,China,113.0340909,25.78409091,11,308,121902840,China,other,China
242,Chifeng,156,China,118.9460526,42.25921053,19,620,195264864,China,other,China
1404,Chizhou,156,China,117.4861111,30.65833333,9,173,75169568,China,other,China
248,Chongqing,156,China,106.5096154,29.53653846,52,4756,782639936,China,other,China
251,Chuxiong,156,China,101.5568182,25.02954545,11,263,93781112,China,other,China
252,Chuzhou,156,China,118.3392857,32.30714286,14,371,149067296,China,other,China
